transactionId,accountId,amount,dateTime,description,code,transactionTypeId,statusId,fee
1001,101,-50.0,2023-10-01 10:00:00,Grocery Store,TX001,2,1,0.0
1002,101,2000.0,2023-10-01 09:00:00,Salary Deposit,TX002,1,4,0.0
1003,102,100.0,2023-10-02 14:30:00,Interest Payment,TX003,1,3,0.0
1004,103,-20.0,2023-10-03 11:15:00,ATM Withdrawal,TX004,3,1,2.5
1005,104,-5000.0,2023-10-04 16:00:00,Vendor Payment,TX005,2,4,10.0
1006,105,-15.99,2023-10-05 19:20:00,Netflix Sub,TX006,2,5,0.0
1007,107,500.0,2023-10-06 10:00:00,Cash Deposit,TX007,1,3,0.0
1008,108,150.0,2023-10-07 09:45:00,Dividend,TX008,1,2,0.0
1009,109,-45.0,2023-10-08 20:00:00,Restaurant,TX009,2,4,0.0
1010,111,-100.0,2023-10-09 12:00:00,Late Fee,TX010,4,4,0.0
1011,112,-2500.0,2023-10-10 15:00:00,Rent Payment,TX011,2,1,5.0
1012,101,-60.0,2023-10-11 11:00:00,Gas Station,TX012,2,1,0.0
1013,103,-200.0,2023-10-12 18:30:00,Online Shopping,TX013,2,1,0.0
1014,106,-10.0,2023-10-13 00:00:00,Service Fee,TX014,4,5,0.0
1015,114,1000.0,2023-10-14 10:00:00,Transfer In,TX015,1,4,0.0
